Feature,Label,mean,median,std,min,max
Bwd Packet Length Max,DoS GoldenEye,4208.3396,3525.0,3450.4963,0.0,11632.0
Bwd Packet Length Max,DoS Hulk,5353.8761,5792.0,2423.409,0.0,11595.0
Bwd Packet Length Max,DoS Slowhttptest,111.0631,0.0,446.964,0.0,4344.0
Bwd Packet Length Max,DoS slowloris,17.4117,0.0,133.4896,0.0,5792.0
Bwd Packet Length Max,Heartbleed,14874.9091,14480.0,1952.4828,13032.0,17376.0
Bwd Packet Length Min,BENIGN,54.0352,6.0,75.1523,0.0,1460.0
Bwd Packet Length Min,DoS GoldenEye,0.2042,0.0,1.0878,0.0,6.0
Bwd Packet Length Min,DoS Hulk,0.027,0.0,6.0342,0.0,1448.0
Bwd Packet Length Min,DoS Slowhttptest,0.5356,0.0,28.4095,0.0,1983.0
Bwd Packet Length Min,DoS slowloris,0.0022,0.0,0.1156,0.0,6.0
Bwd Packet Length Min,Heartbleed,0.0,0.0,0.0,0.0,0.0
Bwd Packet Length Mean,BENIGN,172.89239501953125,86.0,283.9446105957031,0.0,3675.0556640625
Bwd Packet Length Mean,DoS GoldenEye,1257.5662841796875,1175.0,976.4744262695312,0.0,3877.333251953125
Bwd Packet Length Mean,DoS Hulk,1713.1219482421875,1932.5,643.9561767578125,0.0,3865.0
Bwd Packet Length Mean,DoS Slowhttptest,44.030799865722656,0.0,179.56590270996094,0.0,1983.0
Bwd Packet Length Mean,DoS slowloris,7.683899879455566,0.0,48.13399887084961,0.0,1339.2857666015625
Bwd Packet Length Mean,Heartbleed,3838.72314453125,3773.303955078125,188.9033966064453,3699.312744140625,4370.6865234375
Bwd Packet Length Std,BENIGN,137.05209350585938,0.0,287.1438903808594,0.0,3160.994140625
Bwd Packet Length Std,DoS GoldenEye,1953.246826171875,1762.5,1598.108642578125,0.0,6715.73828125
Bwd Packet Length Std,DoS Hulk,2190.246337890625,2178.0849609375,1071.12939453125,0.0,6694.37646484375
Bwd Packet Length Std,DoS Slowhttptest,66.67569732666016,0.0,271.3294982910156,0.0,1570.3853759765625
Bwd Packet Length Std,DoS slowloris,11.020999908447266,0.0,67.51909637451172,0.0,2067.8828125
Bwd Packet Length Std,Heartbleed,2404.522216796875,2374.669677734375,85.66529846191406,2284.046630859375,2566.93505859375
Flow Bytes/s,BENIGN,2329868.75,4721.69677734375,34636781.6155,-12000000.0,2070000000.0
Flow Bytes/s,DoS GoldenEye,688.7073974609375,650.6165161132812,633.9182,0.0,3662.72607421875
Flow Bytes/s,DoS Hulk,37924.13671875,123.84729766845703,371130.2756,0.0,12600000.0
Flow Bytes/s,DoS Slowhttptest,1324834.75,0.0,34053645.7075,0.0,1980000000.0
Flow Bytes/s,DoS slowloris,33656.19921875,0.1599999964237213,270067.7668,0.0,6155172.5
Flow Bytes/s,Heartbleed,65902.8046875,66172.234375,847.0787,63411.9296875,66510.8046875
Flow Packets/s,BENIGN,52123.40234375,84.46659851074219,216848.004,-2000000.0,3000000.0
Flow Packets/s,DoS GoldenEye,8.854900360107422,0.9811999797821045,112.4791,0.016699999570846558,3081.6640625
Flow Packets/s,DoS Hulk,1723.579345703125,0.14890000224113464,37707.5749,0.017500000074505806,3000000.0
Flow Packets/s,DoS Slowhttptest,1579.847412109375,0.11089999973773956,34525.5178,0.06360000371932983,2000000.0
Flow Packets/s,DoS slowloris,1375.7508544921875,0.17970000207424164,16778.3117,0.02590000070631504,1000000.0
Flow Packets/s,Heartbleed,40.558998107910156,40.83549880981445,1.23,36.99829864501953,41.505401611328125
Flow IAT Mean,BENIGN,894259.6875,16409.0,3488751.266,-1.0,119999992.0
Flow IAT Mean,DoS GoldenEye,13812466.0,1132172.0625,26379900.0325,649.0,119999992.0
Flow IAT Mean,DoS Hulk,6389464.5,7212692.0,3403113.0642,0.5,114000000.0
Flow IAT Mean,DoS Slowhttptest,10064370.0,10500000.0,4830819.6396,1.0,28300002.0
Flow IAT Mean,DoS slowloris,10973116.0,5872808.5,13592321.1476,2.0,57900000.0
Flow IAT Mean,Heartbleed,24684.474609375,24493.5332,805.3247,24116.748046875,27034.384765625
Flow IAT Std,BENIGN,1768551.25,204.9594,6081869.1349,0.0,84800000.0
Flow IAT Std,DoS GoldenEye,4156462.75,2062946.8125,13117741.6756,0.0,79100000.0
Flow IAT Std,DoS Hulk,21850730.0,25800000.0,10721152.0662,0.0,83700000.0
Flow IAT Std,DoS Slowhttptest,15556520.0,11900000.0,13627081.3468,0.0,44900000.0
Flow IAT Std,DoS slowloris,19135742.0,12500000.0,23118561.5553,0.0,81900000.0
Flow IAT Std,Heartbleed,154771.71875,153117.4844,6659.5438,149983.890625,174625.765625
Flow IAT Max,BENIGN,5051256.4053,31284.5,15724462.3995,-1.0,120000000.0
Flow IAT Max,DoS GoldenEye,19620068.4536,6550254.5,28566768.2246,649.0,120000000.0
Flow IAT Max,DoS Hulk,75791928.9125,85900000.0,36592725.5691,1.0,118000000.0
Flow IAT Max,DoS Slowhttptest,41043240.5396,32100000.0,34312588.3361,1.0,110000000.0
Flow IAT Max,DoS slowloris,43329599.9989,51300000.0,39819773.2784,2.0,119000000.0
Flow IAT Max,Heartbleed,1452711.0909,995350.0,1222169.0736,995232.0,5024984.0
Flow IAT Min,BENIGN,66709.3002,4.0,1565982.8064,-14.0,120000000.0
Flow IAT Min,DoS GoldenEye,11304207.7201,32.0,25796147.9551,-11.0,120000000.0
Flow IAT Min,DoS Hulk,958.7949,1.0,282190.0434,-13.0,114000000.0
Flow IAT Min,DoS Slowhttptest,1034567.0084,996707.5,2257403.1267,1.0,28300000.0
Flow IAT Min,DoS slowloris,308245.6509,79.0,520975.7306,1.0,12800000.0
Flow IAT Min,Heartbleed,-0.3636,0.0,0.5045,-1.0,0.0
Fwd IAT Total,BENIGN,12464082.6332,4.0,31920123.9523,0.0,120000000.0
Fwd IAT Total,DoS GoldenEye,19619128.7238,6674567.5,28892485.4815,649.0,120000000.0
Fwd IAT Total,DoS Hulk,76215261.4976,86400000.0,36929637.6364,0.0,120000000.0
Fwd IAT Total,DoS Slowhttptest,60641785.2932,63100000.0,34973978.4205,0.0,120000000.0
Fwd IAT Total,DoS slowloris,60933401.0288,100000000.0,48856353.0575,0.0,119000000.0
Fwd IAT Total,Heartbleed,110427272.7273,119000000.0,28432519.7937,24700000.0,119000000.0
Fwd IAT Mean,BENIGN,1925233.0,4.0,8873584.6212,0.0,119999992.0
Fwd IAT Mean,DoS GoldenEye,15614176.0,1151950.375,30355987.1028,363.8572082519531,119999992.0
Fwd IAT Mean,DoS Hulk,13494792.0,14200000.0,7624880.4894,0.0,114000000.0
Fwd IAT Mean,DoS Slowhttptest,13412382.0,10500000.0,10120856.1298,0.0,36700000.0
Fwd IAT Mean,DoS slowloris,26552532.0,7048111.0,40558377.5045,0.0,118999992.0
Fwd IAT Mean,Heartbleed,42794.9296875,42699.91796875,602.3357,41968.875,44449.5078125
Fwd IAT Std,BENIGN,1530015.5,0.0,5328551.7697,0.0,82800000.0
Fwd IAT Std,DoS GoldenEye,1732670.875,2067886.75,1552157.3155,0.0,14999999.0
Fwd IAT Std,DoS Hulk,31603970.0,37200000.0,15910608.3086,0.0,83700000.0
Fwd IAT Std,DoS Slowhttptest,17697484.0,11900000.0,20013147.6112,0.0,63500000.0
Fwd IAT Std,DoS slowloris,6555838.0,711029.125,10147121.5327,0.0,71400000.0
Fwd IAT Std,Heartbleed,202376.890625,200852.5,6748.2978,197466.203125,222461.71875
Fwd IAT Max,BENIGN,4912181.0805,4.0,15716485.1366,0.0,120000000.0
Fwd IAT Max,DoS GoldenEye,19152950.6851,6551435.5,28835985.2934,639.0,120000000.0
Fwd IAT Max,DoS Hulk,75776741.7239,85900000.0,36621719.1084,0.0,118000000.0
Fwd IAT Max,DoS Slowhttptest,41013414.6584,32100000.0,34339697.0333,0.0,110000000.0
Fwd IAT Max,DoS slowloris,43325252.2865,51300000.0,39824222.7667,0.0,119000000.0
Fwd IAT Max,Heartbleed,1453983.3636,996919.0,1221945.5364,996222.0,5025702.0
Fwd IAT Min,BENIGN,1015420.3026,3.0,8488801.2089,0.0,120000000.0
Fwd IAT Min,DoS GoldenEye,14852731.1264,200.0,30717316.4079,-1.0,120000000.0
Fwd IAT Min,DoS Hulk,1238.4172,2.0,282193.3992,-8.0,114000000.0
Fwd IAT Min,DoS Slowhttptest,2134152.1859,997106.5,4966324.8551,0.0,21000000.0
Fwd IAT Min,DoS slowloris,22981074.2977,997228.0,42186243.9271,0.0,119000000.0
Fwd IAT Min,Heartbleed,0.0,0.0,0.0,0.0,0.0
Bwd IAT Total,BENIGN,11635624.9251,3.0,31132073.7083,0.0,120000000.0
Bwd IAT Total,DoS GoldenEye,8048752.5294,10500000.0,6779682.7514,0.0,107000000.0
Bwd IAT Total,DoS Hulk,24556530.0547,148554.0,41238341.9164,0.0,120000000.0
Bwd IAT Total,DoS Slowhttptest,23682143.0801,0.0,44080653.3973,0.0,110000000.0
Bwd IAT Total,DoS slowloris,56115895.3008,100000000.0,50772980.6954,0.0,119000000.0
Bwd IAT Total,Heartbleed,110372727.2727,119000000.0,28613426.6004,24100000.0,119000000.0
Bwd IAT Mean,BENIGN,1929634.625,3.0,9161117.3888,0.0,119999992.0
Bwd IAT Mean,DoS GoldenEye,2057155.0,2271306.25,2044869.1558,0.0,53400000.0
Bwd IAT Mean,DoS Hulk,4284422.0,29891.19921875,7388623.9542,0.0,117000008.0
Bwd IAT Mean,DoS Slowhttptest,12111248.0,0.0,22174856.8248,0.0,55000000.0
Bwd IAT Mean,DoS slowloris,37931272.0,51300000.0,39223906.5914,0.0,118999992.0
Bwd IAT Mean,Heartbleed,58297.84765625,57135.03515625,3760.444,55301.76171875,69040.90625
Bwd IAT Std,BENIGN,1263937.75,0.0,5274318.9477,0.0,82900000.0
Bwd IAT Std,DoS GoldenEye,2420134.0,2916300.5,1944401.3533,0.0,31000000.0
Bwd IAT Std,DoS Hulk,10129415.0,59763.5098,17104178.7345,0.0,66700000.0
Bwd IAT Std,DoS Slowhttptest,15134012.0,0.0,29817927.6472,0.0,77800000.0
Bwd IAT Std,DoS slowloris,10907548.0,0.0,15707539.9607,0.0,76400000.0
Bwd IAT Std,Heartbleed,234325.609375,230051.9844,13339.1902,225933.59375,273867.4375
Bwd IAT Max,BENIGN,4302618.96,3.0,15137847.8919,0.0,120000000.0
Bwd IAT Max,DoS GoldenEye,4848267.8915,5439890.5,4215722.2421,0.0,75300000.0
Bwd IAT Max,DoS Hulk,24498412.79,136113.0,41173927.7895,0.0,118000000.0
Bwd IAT Max,DoS Slowhttptest,22823337.9755,0.0,42794309.8447,0.0,110000000.0
Bwd IAT Max,DoS slowloris,46217972.6713,71000000.0,43187626.9339,0.0,119000000.0
Bwd IAT Max,Heartbleed,1452711.0909,995350.0,1222169.0736,995232.0,5024984.0
Bwd IAT Min,BENIGN,1106472.7007,2.0,8738090.4952,0.0,120000000.0
Bwd IAT Min,DoS GoldenEye,41190.7908,49.0,807829.1151,0.0,31600000.0
Bwd IAT Min,DoS Hulk,54656.7334,46.0,1735575.5697,0.0,117000000.0
Bwd IAT Min,DoS Slowhttptest,1410201.251,0.0,6501537.009,0.0,31600000.0
Bwd IAT Min,DoS slowloris,30359261.5558,31400000.0,38691240.75,0.0,119000000.0
Bwd IAT Min,Heartbleed,1.2727,1.0,0.4671,1.0,2.0
Fwd PSH Flags,BENIGN,0.0584,0.0,0.2345,0.0,1.0
Fwd PSH Flags,DoS GoldenEye,0.0,0.0,0.0,0.0,0.0
Fwd PSH Flags,DoS Hulk,0.0,0.0,0.0,0.0,0.0
Fwd PSH Flags,DoS Slowhttptest,0.1314,0.0,0.3379,0.0,1.0
Fwd PSH Flags,DoS slowloris,0.2654,0.0,0.4416,0.0,1.0
Fwd PSH Flags,Heartbleed,0.0,0.0,0.0,0.0,0.0
Fwd Header Length,BENIGN,294.4481,64.0,20162.6878,-11.0,4290372.0
Fwd Header Length,DoS GoldenEye,195.8266,232.0,100.483,64.0,696.0
Fwd Header Length,DoS Hulk,199.3131,200.0,70.2872,20.0,520.0
Fwd Header Length,DoS Slowhttptest,225.4338,280.0,119.724,32.0,744.0
Fwd Header Length,DoS slowloris,228.537,120.0,186.9226,32.0,536.0
Fwd Header Length,Heartbleed,82682.1818,89356.0,21187.8987,18880.0,89772.0
Bwd Header Length,BENIGN,329.3284,40.0,25382.6672,0.0,5447060.0
Bwd Header Length,DoS GoldenEye,124.2497,168.0,81.3605,0.0,304.0
Bwd Header Length,DoS Hulk,187.0257,200.0,62.0241,0.0,360.0
Bwd Header Length,DoS Slowhttptest,32.684,0.0,44.7767,0.0,400.0
Bwd Header Length,DoS slowloris,56.7911,64.0,43.3553,0.0,360.0
Bwd Header Length,Heartbleed,60710.5455,66208.0,15908.3249,13952.0,68160.0
Fwd Packets/s,BENIGN,46297.8203125,42.680301666259766,209233.3353,0.0,3000000.0
Fwd Packets/s,DoS GoldenEye,8.487799644470215,0.5902000069618225,112.5035,0.016699999570846558,3081.6640625
Fwd Packets/s,DoS Hulk,1628.4010009765625,0.08100000023841858,36054.6244,0.017500000074505806,3000000.0
Fwd Packets/s,DoS Slowhttptest,760.7562255859375,0.11089999973773956,17232.8622,0.03530000150203705,1000000.0
Fwd Packets/s,DoS slowloris,673.3223876953125,0.15129999816417694,8387.3179,0.01679999940097332,500000.0
Fwd Packets/s,Heartbleed,23.381900787353516,23.427600860595703,0.3254,22.505800247192383,23.867599487304688
Bwd Packets/s,BENIGN,5926.36962890625,22.953500747680664,37429.8651,0.0,2000000.0
Bwd Packets/s,DoS GoldenEye,0.3671000003814697,0.383899986743927,0.3092,0.0,1.5980000495910645
Bwd Packets/s,DoS Hulk,95.17849731445312,0.07010000199079514,4930.8094,0.0,1000000.0
Bwd Packets/s,DoS Slowhttptest,819.0911865234375,0.0,17305.092,0.0,1000000.0
Bwd Packets/s,DoS slowloris,702.4285888671875,0.019999999552965164,8399.5162,0.0,500000.0
Bwd Packets/s,Heartbleed,17.177099227905273,17.510799407958984,0.9437,14.492500305175781,17.860000610351562
Min Packet Length,BENIGN,21.2242,6.0,31.1891,0.0,1448.0
Min Packet Length,DoS GoldenEye,0.0,0.0,0.0,0.0,0.0
Min Packet Length,DoS Hulk,0.0052,0.0,0.1761,0.0,6.0
Min Packet Length,DoS Slowhttptest,18.9759,0.0,76.4279,0.0,389.0
Min Packet Length,DoS slowloris,0.0045,0.0,0.1635,0.0,6.0
Min Packet Length,Heartbleed,0.0,0.0,0.0,0.0,0.0
Max Packet Length,BENIGN,533.635,102.0,1062.794,0.0,24820.0
Max Packet Length,DoS GoldenEye,4222.7658,3525.0,3433.773,0.0,11632.0
Max Packet Length,DoS Hulk,5354.1747,5792.0,2422.7496,0.0,11595.0
Max Packet Length,DoS Slowhttptest,268.8189,0.0,478.9988,0.0,4344.0
Max Packet Length,DoS slowloris,113.5536,8.0,165.6782,0.0,5792.0
Max Packet Length,Heartbleed,14874.9091,14480.0,1952.4828,13032.0,17376.0
Packet Length Mean,BENIGN,117.61380004882812,63.20000076293945,185.63519287109375,0.0,2279.75439453125
Packet Length Mean,DoS GoldenEye,501.4996032714844,461.7778015136719,358.7322998046875,0.0,1032.5833740234375
Packet Length Mean,DoS Hulk,791.1065063476562,852.6428833007812,296.1842956542969,0.0,1710.7142333984375
Packet Length Mean,DoS Slowhttptest,83.0542984008789,0.0,160.32130432128906,0.0,1324.0
Packet Length Mean,DoS slowloris,54.31340026855469,4.800000190734863,66.54039764404297,0.0,651.3333129882812
Packet Length Mean,Heartbleed,1626.602294921875,1620.05419921875,31.29290008544922,1603.2779541015625,1713.5257568359375
Packet Length Std,BENIGN,160.0574951171875,32.31560134887695,298.4247131347656,0.0,4319.76953125
Packet Length Std,DoS GoldenEye,1272.6583251953125,1166.24755859375,974.26318359375,0.0,3352.650634765625
Packet Length Std,DoS Hulk,1627.1741943359375,1655.53271484375,689.9819946289062,0.0,4364.0224609375
Packet Length Std,DoS Slowhttptest,106.80039978027344,0.0,220.1571044921875,0.0,1144.8856201171875
Packet Length Std,DoS slowloris,53.5177001953125,4.618800163269043,66.51860046386719,0.0,1511.979248046875
Packet Length Std,Heartbleed,2457.58447265625,2427.686767578125,83.04419708251953,2377.95458984375,2669.389404296875
Packet Length Variance,BENIGN,114674.46875,1044.300048828125,438782.8643,0.0,18700000.0
Packet Length Variance,DoS GoldenEye,2569032.5,1360133.5,2764742.4963,0.0,11200000.0
Packet Length Variance,DoS Hulk,3123809.5,2740788.75,2075587.2475,0.0,19000000.0
Packet Length Variance,DoS Slowhttptest,59866.18359375,0.0,198843.1203,0.0,1310763.0
Packet Length Variance,DoS slowloris,7288.04296875,21.33329963684082,37509.2805,0.0,2286081.5
Packet Length Variance,Heartbleed,6045991.0,5893662.5,418658.0271,5654668.0,7125639.0
FIN Flag Count,BENIGN,0.012,0.0,0.1088,0.0,1.0
FIN Flag Count,DoS GoldenEye,0.0,0.0,0.0,0.0,0.0
FIN Flag Count,DoS Hulk,0.3408,0.0,0.474,0.0,1.0
FIN Flag Count,DoS Slowhttptest,0.0,0.0,0.0,0.0,0.0
FIN Flag Count,DoS slowloris,0.0,0.0,0.0,0.0,0.0
FIN Flag Count,Heartbleed,0.0,0.0,0.0,0.0,0.0
SYN Flag Count,BENIGN,0.0584,0.0,0.2345,0.0,1.0
SYN Flag Count,DoS GoldenEye,0.0,0.0,0.0,0.0,0.0
SYN Flag Count,DoS Hulk,0.0,0.0,0.0,0.0,0.0
SYN Flag Count,DoS Slowhttptest,0.1314,0.0,0.3379,0.0,1.0
SYN Flag Count,DoS slowloris,0.2654,0.0,0.4416,0.0,1.0
SYN Flag Count,Heartbleed,0.0,0.0,0.0,0.0,0.0
RST Flag Count,BENIGN,0.0006,0.0,0.0237,0.0,1.0
RST Flag Count,DoS GoldenEye,0.0,0.0,0.0,0.0,0.0
RST Flag Count,DoS Hulk,0.0,0.0,0.0,0.0,0.0
RST Flag Count,DoS Slowhttptest,0.0,0.0,0.0,0.0,0.0
RST Flag Count,DoS slowloris,0.0,0.0,0.0,0.0,0.0
RST Flag Count,Heartbleed,0.0,0.0,0.0,0.0,0.0
PSH Flag Count,BENIGN,0.2499,0.0,0.4329,0.0,1.0
PSH Flag Count,DoS GoldenEye,0.7161,1.0,0.4509,0.0,1.0
PSH Flag Count,DoS Hulk,0.0844,0.0,0.278,0.0,1.0
PSH Flag Count,DoS Slowhttptest,0.8064,1.0,0.3951,0.0,1.0
PSH Flag Count,DoS slowloris,0.7187,1.0,0.4497,0.0,1.0
PSH Flag Count,Heartbleed,0.0909,0.0,0.3015,0.0,1.0
ACK Flag Count,BENIGN,0.2837,0.0,0.4508,0.0,1.0
ACK Flag Count,DoS GoldenEye,0.2862,0.0,0.452,0.0,1.0
ACK Flag Count,DoS Hulk,0.5761,1.0,0.4942,0.0,1.0
ACK Flag Count,DoS Slowhttptest,0.1936,0.0,0.3951,0.0,1.0
ACK Flag Count,DoS slowloris,0.2813,0.0,0.4497,0.0,1.0
ACK Flag Count,Heartbleed,0.9091,1.0,0.3015,0.0,1.0
URG Flag Count,BENIGN,0.1043,0.0,0.3057,0.0,1.0
URG Flag Count,DoS GoldenEye,0.0071,0.0,0.0839,0.0,1.0
URG Flag Count,DoS Hulk,0.0009,0.0,0.0292,0.0,1.0
URG Flag Count,DoS Slowhttptest,0.1234,0.0,0.3289,0.0,1.0
URG Flag Count,DoS slowloris,0.0282,0.0,0.1656,0.0,1.0
URG Flag Count,Heartbleed,0.0,0.0,0.0,0.0,0.0
ECE Flag Count,BENIGN,0.0006,0.0,0.0237,0.0,1.0
ECE Flag Count,DoS GoldenEye,0.0,0.0,0.0,0.0,0.0
ECE Flag Count,DoS Hulk,0.0,0.0,0.0,0.0,0.0
ECE Flag Count,DoS Slowhttptest,0.0,0.0,0.0,0.0,0.0
ECE Flag Count,DoS slowloris,0.0,0.0,0.0,0.0,0.0
ECE Flag Count,Heartbleed,0.0,0.0,0.0,0.0,0.0
Down/Up Ratio,BENIGN,0.6729,1.0,0.5514,0.0,43.0
Down/Up Ratio,DoS GoldenEye,0.0661,0.0,0.2485,0.0,1.0
Down/Up Ratio,DoS Hulk,0.5119,0.0,0.5887,0.0,2.0
Down/Up Ratio,DoS Slowhttptest,0.1775,0.0,0.6713,0.0,4.0
Down/Up Ratio,DoS slowloris,0.2665,0.0,0.4968,0.0,2.0
Down/Up Ratio,Heartbleed,0.0,0.0,0.0,0.0,0.0
Average Packet Size,BENIGN,134.18789672851562,81.0,197.681396484375,0.0,2612.0
Average Packet Size,DoS GoldenEye,542.3184814453125,511.8580017089844,384.4342041015625,0.0,1126.45458984375
Average Packet Size,DoS Hulk,855.6046752929688,918.1538696289062,325.9425048828125,0.0,1995.8333740234375
Average Packet Size,DoS Slowhttptest,107.33039855957031,0.0,221.19549560546875,0.0,1986.0
Average Packet Size,DoS slowloris,59.197898864746094,6.0,73.29820251464844,0.0,697.8571166992188
Average Packet Size,Heartbleed,1627.0518798828125,1620.3865966796875,31.23310089111328,1603.603515625,1713.9139404296875
Avg Fwd Segment Size,BENIGN,70.21029663085938,39.0,194.10079956054688,0.0,4640.7578125
Avg Fwd Segment Size,DoS GoldenEye,59.48540115356445,52.563499450683594,56.324100494384766,0.0,422.3077087402344
Avg Fwd Segment Size,DoS Hulk,59.36389923095703,53.83330154418945,34.67100143432617,0.0,317.25
Avg Fwd Segment Size,DoS Slowhttptest,79.72460174560547,0.0,186.1571044921875,0.0,1983.0
Avg Fwd Segment Size,DoS slowloris,67.18219757080078,8.0,79.79460144042969,0.0,239.0
Avg Fwd Segment Size,Heartbleed,5.391499996185303,4.888400077819824,2.6403000354766846,3.09089994430542,12.61359977722168
Avg Bwd Segment Size,BENIGN,172.89239501953125,86.0,283.9446105957031,0.0,3675.0556640625
Avg Bwd Segment Size,DoS GoldenEye,1257.5662841796875,1175.0,976.4744262695312,0.0,3877.333251953125
Avg Bwd Segment Size,DoS Hulk,1713.1219482421875,1932.5,643.9561767578125,0.0,3865.0
Avg Bwd Segment Size,DoS Slowhttptest,44.030799865722656,0.0,179.56590270996094,0.0,1983.0
Avg Bwd Segment Size,DoS slowloris,7.683899879455566,0.0,48.13399887084961,0.0,1339.2857666015625
